tweet_id,author_id,text,created_at,source,retweet_count,reply_count,like_count,quote_count,author_created_at,author_followers_count,author_tweet_count,author_verified,author_location,engagement_score,sentiment_polarity,sentiment_label,hashtags,mentions,urls,tweet_count,total_engagement,hostile_tweet_count,author_hostility_score,bot_score,latitude,longitude
1962138350464409662,1751891593425043456,"@IndiaWarfare I know someone who has met Pragya &amp; told me that in reality she was involved in Malegaon Blast.

When I asked him about role of Israel &amp; RSS in 26/11, he was not aware about it.

Problem is if I say someone, that Pragya was involved, I will be labelled as Saffron terror believer.",2025-08-31 13:00:12+00:00,,0,3,3,0,2024-01-29 08:55:45+00:00,541,3766,False,Bharatvarsh,7.5,-0.125,Hostile,[],['IndiaWarfare'],[],3,14.5,1.0,33.33333333333333,0.0,,
1961940222591353251,1910340227555569665,@VjTomz @zoo_bear Indian muslim who face this daily by hindutva terror gangs - https://t.co/OLrRCGlXdm,2025-08-30 23:52:54+00:00,,0,0,7,0,2025-04-10 14:33:18+00:00,55,2232,False,"Briston, England",7.0,0.0,Neutral,[],"['VjTomz', 'zoo_bear']",['https://t.co/OLrRCGlXdm'],1,7.0,0.0,0.0,52.910958904109584,52.8469389,1.0762195
1961703564406890499,1490067577736892416,"@hindu_in_middle @iamJerusalem2 Okay so, RSS is what's called Sangh. ""Sanghis"" is the term coined currently for the Hindutva extremists who claim to be like them online. How detached are you from the internet to not even know that. And I don't kill cows, nor do I eat them. I'm a Hindu, kid.",2025-08-30 08:12:31+00:00,,0,1,5,0,2022-02-05 20:59:36+00:00,12,1502,False,,6.5,0.25,Positive,[],"['hindu_in_middle', 'iamJerusalem2']",[],1,6.5,0.0,0.0,44.0,,
1961674609629008096,1892233214674042880,"@BhavikKothari19 @VishalBhargava5 “Waking up each day and giving speeches like 'kapdo se pehchano' is not regressive”

Yes Abdool, waking up daily and talking about “saffron terror” is progressive. Protecting Muslim paedophiles is progressive. Supporting train burners is progressive.",2025-08-30 06:17:27+00:00,,0,1,5,0,2025-02-19 15:22:20+00:00,14,8685,False,,6.5,0.125,Positive,[],"['BhavikKothari19', 'VishalBhargava5']",[],1,6.5,0.0,0.0,66.56164383561644,,
1962145972953522184,1949898863751680003,"@dreamlighthoriz @brahmasmiti Lol sure, Khalistani terrorists blow up planes while hindutvas celebrate Ramnavmi with saffron flag. Quit talking like a 8yo, Khalistanis are not even Sikh, Sikhs who don't align themselves with their terror ideology are threatened in Khalistani Gurudwaras.",2025-08-31 13:30:29+00:00,,0,1,5,0,2025-07-28 18:25:18+00:00,129,1836,False,,6.5,0.65,Positive,[],"['dreamlighthoriz', 'brahmasmiti']",[],1,6.5,0.0,0.0,45.47945205479452,,
1962071728454283708,1561588050471395328,"@sajadlone India is an oppressor  and is responsible for Kashmiris misery and life loss. The dawn of freedom of Kashmir from Indian occupation is a writing on the wall. Divided families from Kashmir are very courgeous to pay the price for the right to self-determination. 
Allah is with you",2025-08-31 08:35:28+00:00,,0,4,0,0,2022-08-22 05:37:10+00:00,228,204,False,Islamabad ,6.0,0.22857142857142856,Positive,[],['sajadlone'],[],1,6.0,0.0,0.0,0.0,33.6938118,73.0651511
1962027652640092497,1627624701286834176,"@JackofBlades22 The TTP and Pakistan conflict issue is very old. The atrocities committed by pak army in Pashtun and Baloch areas mean they deserve the FAFO. And regarding Kashmir, it was pak who abandoned Kashmiri mujahideen.",2025-08-31 05:40:19+00:00,,0,3,1,0,2023-02-20 11:02:43+00:00,339,6688,False,Middle east ,5.5,-0.09125,Hostile,[],['JackofBlades22'],[],1,5.5,1.0,100.0,0.0,39.3014159,-76.5888477
1962022646570516958,579192318,@incredibleindi0 @IranObserver0 What about the hindutva terror ?,2025-08-31 05:20:26+00:00,,0,0,5,0,2012-05-13 16:58:38+00:00,2,275,False,"Calcutta,India",5.0,0.0,Neutral,[],"['incredibleindi0', 'IranObserver0']",[],1,5.0,0.0,0.0,49.0,22.5726459,88.3638953
1962138480655659446,1751891593425043456,"@IndiaWarfare Fucker Congress has mixed the two.

Should have restricted to RSS terror, not Hindu terror or Saffron terror.",2025-08-31 13:00:43+00:00,,0,1,3,0,2024-01-29 08:55:45+00:00,541,3766,False,Bharatvarsh,4.5,0.0,Neutral,[],['IndiaWarfare'],[],3,14.5,1.0,33.33333333333333,0.0,,
1961859175635661207,1864010638617661440,"@ARanganathan72 @ndtv @PadmajaJoshi So rightly said RSS who claims himself to be saviour of hindusim and completely failed (Huge Demographic change in Kashmir,Bengal,Uttarakhand,UP erc) in doing so rather they have been deviated from their core objective of protecting Hinduism and instead now preaching bhaichara.",2025-08-30 18:30:51+00:00,,0,0,4,0,2024-12-03 18:15:55+00:00,498,3135,False,Global,4.0,0.046428571428571416,Neutral,[],"['ARanganathan72', 'ndtv', 'PadmajaJoshi']",[],1,4.0,0.0,0.0,13.013698630136988,55.702215,12.5592485
1962038494089666739,1689006142607761408,"This is nothing personal agnst
that *secular* community in New Jersey
w/ such amazing Hindutva names 
- suddenly walking 
around w/ resistance flags 
on campuses while
refusing to compensate 
Dalits &amp; refusing 2 acknowledge 
Hindutva atrocities 
in Kashmir",2025-08-31 06:23:24+00:00,,0,1,2,0,2023-08-08 20:10:55+00:00,381,11152,False, خانہ بدوش,3.5,0.14727272727272728,Positive,[],[],[],1,3.5,0.0,0.0,0.0,,
1961788611566710984,1293601492889243648,"@EtherEagle252 @Sagar020194 @effsixteen China has already liberated parts of Ladakh and Arunachal under Indian occupation. It's continuously doing that. Name of Arunachal has been changed already. Kashmir is essential for the success of CPEC/BRI.

India falling into its lap would only accelerate the process.",2025-08-30 13:50:27+00:00,,0,2,0,0,2020-08-12 17:33:40+00:00,298,13377,False,,3.0,0.09999999999999999,Positive,[],"['EtherEagle252', 'Sagar020194', 'effsixteen']",[],2,3.0,0.0,0.0,0.0,,
1962091164032790778,1751891593425043456,"@LibleftEnjoyer It might be possible that they never created the Hindu terror story and they might have just blamed RSS and it is RSS which fabricated the narrative that they are creating Hindu terror story. We will have to look for the primary source which used the term ""Saffron terror"".",2025-08-31 09:52:42+00:00,,0,1,1,0,2024-01-29 08:55:45+00:00,541,3766,False,Bharatvarsh,2.5,0.13333333333333333,Positive,[],['LibleftEnjoyer'],[],3,14.5,1.0,33.33333333333333,0.0,,
1961796113582969228,1720665183188922368,"@Asimpleguy96094 @PitstopAt75093 @MrSinha_ Bhai, Digvijaya Singh ne 26/11 pe RSS involvement ke claims kiye the, jo controversial rahe—Congress ne distance kiya, BJP ne criticize kiya. Malegaon blast mein 7 accused (jaise Pragya Thakur) 2025 mein acquitted hue, 'saffron terror' narrative ko BJP false kehta hai, Congress",2025-08-30 14:20:16+00:00,,0,1,1,0,2023-11-04 04:52:34+00:00,6143904,43668194,True,wherever you are,2.5,0.07499999999999998,Positive,[],"['Asimpleguy96094', 'PitstopAt75093', 'MrSinha_']",[],6,8.0,0.0,0.0,0.0,,
1961880309831454987,1360202290934599680,"@addu0987 @Priyans28370412 @GopeshKhetan @gork @grok Far better life? 😆😆😆
dude, hindu mobs routinely kill and harass non hindus in India yet neither police nor judiciary takes strict against those mobs. Your government and you hindus show silent support to those mobs by not condemning them. 
Show me this happening in Pakistan.",2025-08-30 19:54:50+00:00,,0,1,1,0,2021-02-12 12:21:19+00:00,75,6238,False,,2.5,0.19999999999999998,Positive,[],"['addu0987', 'Priyans28370412', 'GopeshKhetan', 'gork', 'grok']",[],2,4.0,0.0,0.0,12.5,,
1961797713928093951,1652675318682099712,@SusanSulli12381 @Gp382002 @elonmusk They suffered the most during Islamic regime for 600 years but when Indian started taking action the west started calling Islamophobia is increasing in India...,2025-08-30 14:26:38+00:00,,0,0,2,0,2023-04-30 14:06:13+00:00,29,3262,False,Aryavarta or Bharat or India,2.0,0.3,Positive,[],"['SusanSulli12381', 'Gp382002', 'elonmusk']",[],1,2.0,0.0,0.0,35.5,,
1961846852917350894,1545301985091792897,"India has been a hidden force behind Bangladesh's turmoil, orchestrating chaos. Despite its efforts, India's dominance over Bangladesh will not be restored.
#IndiaOut https://t.co/UpMwmBSaRx",2025-08-30 17:41:53+00:00,,0,0,2,0,2022-07-08 07:02:18+00:00,36,283,False,🌖,2.0,-0.2833333333333333,Hostile,['IndiaOut'],[],['https://t.co/UpMwmBSaRx'],1,2.0,1.0,100.0,32.0,,
1961815172873584814,118744821,Muslim Life – and Death – in Modi’s India: A podcast with Harsh Mander https://t.co/mkq4LbKFWH,2025-08-30 15:36:00+00:00,,0,1,0,0,2010-03-01 16:37:56+00:00,42,33594,False,Pale blue dot,1.5,-0.2,Hostile,[],[],['https://t.co/mkq4LbKFWH'],1,1.5,1.0,100.0,29.000000000000004,43.26265,-79.8662466
1962012575669035028,1946081463574872064,"@MeghUpdates needs to happen in India too. it's not normal how govts are just allowing these termites to do whatever and shut down the anger by gaslighting them about islamophobia. 
https://t.co/PCSck2Cttg",2025-08-31 04:40:25+00:00,,0,1,0,0,2025-07-18 05:37:03+00:00,12,834,False,,1.5,-0.3101851851851852,Hostile,[],['MeghUpdates'],['https://t.co/PCSck2Cttg'],1,1.5,1.0,100.0,87.97260273972603,,
1961837961751802128,1822244479870349313,@GemstaJames @bhakumchi @impatelhimanshu @_Saffron_Girl_ Better dirt than terror and rape https://t.co/VXRdRvl6nh,2025-08-30 17:06:33+00:00,,0,1,0,0,2024-08-10 12:45:09+00:00,61,5254,False,,1.5,0.5,Positive,[],"['GemstaJames', 'bhakumchi', 'impatelhimanshu', '_Saffron_Girl_']",['https://t.co/VXRdRvl6nh'],1,1.5,0.0,0.0,19.5,,
1961853523412615561,1928346760373751811,"@yaronN982 @bhakumchi @impatelhimanshu @_Saffron_Girl_ India is the second rape capital of the world. 1 st being Israel.
As for terrorists They govern India BJP, Saffron etc..
no shortage off rapists or terorist in indis

https://t.co/qEie8L5hH8",2025-08-30 18:08:24+00:00,,0,1,0,0,2025-05-30 07:04:59+00:00,145,5839,False,404: Location not found,1.5,0.0,Neutral,[],"['yaronN982', 'bhakumchi', 'impatelhimanshu', '_Saffron_Girl_']",['https://t.co/qEie8L5hH8'],1,1.5,0.0,0.0,37.26027397260274,,
1961883212289871932,1879096502,Rivers of #Kashmir &amp; #Punjab are angry &amp; feeling hurt as Natural Flow from North to South was altered by Indian Occupation of the region. Thus massive floods &amp; they restored their original pathways. It caused huge loses in Kashmir ; East &amp; West Punjab &amp; further in #Pakistan.1/ https://t.co/CHAkcS67tT,2025-08-30 20:06:22+00:00,,0,1,0,0,2013-09-18 11:16:03+00:00,58,29350,False,,1.5,0.010714285714285707,Neutral,"['Kashmir', 'Punjab', 'Pakistan']",[],['https://t.co/CHAkcS67tT'],1,1.5,0.0,0.0,21.000000000000004,,
1961879487517196750,1360202290934599680,"@SanataniSpeaks @ElijahPearloffc @Warlock_mohit you ignored my point (deliberately I guess); 
you hindus have no right to blame Muslims for extremism or terrorism when in your own country hindu mobs go out on a rampage against Muslims and christians and they get absolute impunity from the state, you never condemned them.",2025-08-30 19:51:34+00:00,,0,1,0,0,2021-02-12 12:21:19+00:00,75,6238,False,,1.5,0.21904761904761905,Positive,[],"['SanataniSpeaks', 'ElijahPearloffc', 'Warlock_mohit']",[],2,4.0,0.0,0.0,12.5,,
1962069478256333143,1804115924179652608,"@grok @Nepali_Comrade What is ur source of attack on Muslims in Bihar 
I hear daily news of Hindu being killed by Moslem mobs 
Share the source and don’t bring Islamist moouth piece Al Jazeera news which is not better then garbage as far as true journalism is concerned",2025-08-31 08:26:31+00:00,,0,1,0,0,2024-06-21 11:36:09+00:00,425,170256,False,,1.5,0.0,Neutral,[],"['grok', 'Nepali_Comrade']",[],1,1.5,0.0,0.0,0.0,,
1962152651359129972,1516952032095178754,These mobs of Patrick Goss and Kiran Desai and Kaushik Amin in name of stealing elections for secular and non secular hindu politicians not letting me work for more than 15 /20 years. Please investigate all my allegations including why PatrickGoss didn't let me go through federal,2025-08-31 13:57:01+00:00,,0,1,0,0,2022-04-21 01:29:12+00:00,1,1197,False,"Skokie, IL",1.5,0.5,Positive,[],[],[],2,3.0,1.0,50.0,49.5,42.0262972,-87.7521069
